,prediction
0,25
1,13
2,22
3,2
4,18
5,17
6,11
7,23
8,22
9,20
10,6
11,9
12,11
13,14
14,4
15,5
16,6
17,8
18,2
19,0
20,16
21,0
22,3
23,9
24,19
25,1
26,21
27,21
28,7
29,22
30,25
31,23
32,6
33,14
34,20
35,7
36,2
37,19
38,15
39,15
40,19
41,13
42,13
43,15
44,13
45,10
46,13
47,14
48,24
49,0
50,7
51,3
52,21
53,20
54,5
55,2
56,23
57,9
58,17
59,14
60,13
61,2
62,11
63,21
64,0
65,6
66,18
67,20
68,12
69,21
70,24
71,22
72,21
73,8
74,24
75,18
76,15
77,17
78,6
79,19
